trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1916,False,"{'a': 0.7, 'e': 0.1470535255419077}",30,12,-40.76366110486368,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
1917,False,"{'a': 0.7, 'e': 0.1469064720163658}",30,17,27.577824923303368,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1918,False,"{'a': 0.7, 'e': 0.14675956554434944}",20,0,30.82252913690161,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1919,False,"{'a': 0.7, 'e': 0.14661280597880508}",25,12,28.83761191806645,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1920,False,"{'a': 0.7, 'e': 0.14646619317282628}",20,6,22.447447687609284,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1921,False,"{'a': 0.7, 'e': 0.14631972697965345}",20,2,35.463362278555245,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1922,False,"{'a': 0.7, 'e': 0.1461734072526738}",20,14,9.726818933673648,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1923,False,"{'a': 0.7, 'e': 0.14602723384542113}",20,3,-37.38148719427293,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
1924,False,"{'a': 0.7, 'e': 0.1458812066115757}",20,0,18.497845391929204,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1925,False,"{'a': 0.7, 'e': 0.14573532540496412}",20,7,8.93771542271706,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
1926,False,"{'a': 0.7, 'e': 0.14558959007955916}",20,13,13.05210413578153,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1927,False,"{'a': 0.7, 'e': 0.1454440004894796}",30,17,27.208875649017408,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1928,False,"{'a': 0.7, 'e': 0.14529855648899012}",30,15,16.327404780907596,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1929,False,"{'a': 0.7, 'e': 0.14515325793250114}",20,9,18.091815227627897,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1930,False,"{'a': 0.7, 'e': 0.14500810467456862}",20,8,19.613177104502284,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1931,False,"{'a': 0.7, 'e': 0.14486309656989407}",30,7,29.679439299569218,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
1932,False,"{'a': 0.7, 'e': 0.14471823347332416}",20,14,12.711009775029853,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1933,False,"{'a': 0.7, 'e': 0.14457351523985085}",20,9,-25.86672205754517,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
1934,False,"{'a': 0.7, 'e': 0.144428941724611}",30,13,31.196963532678474,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1935,False,"{'a': 0.7, 'e': 0.14428451278288637}",25,3,-11.993449403432269,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
1936,False,"{'a': 0.7, 'e': 0.1441402282701035}",35,13,25.505905429404393,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
